Method,Token In,Token Out,Token Balance Change,date(UTC)
PAYMENT SENT,16415102.32041410,14486461.32040120,1928641.0000129,2025-10-23 02:08:56
PAYMENT SENT,656363.75,296132.74998814,360231.00001186,2025-08-08 03:35:24
PAYMENT RECEIVED,/,656363.75,656363.75,2025-07-04 02:09:54
PAYMENT SENT,16792369.57043250,16118969.570426,673400.00000645,2024-11-02 11:43:26
PAYMENT RECEIVED,/,61.99999593,61.99999593,2024-09-22 07:13:42
PAYMENT SENT,21490197.13044250,16792307.57043650,4697889.56000593,2024-06-21 07:00:09
PAYMENT SENT,22086891.4444484,21490197.13044250,596694.31400595,2024-06-21 05:30:31
PAYMENT SENT,22789845.44445430,22086891.4444484,702954.00000593,2024-02-29 08:31:25
PAYMENT SENT,23541507.77466080,22789845.44445430,751662.33020645,2024-02-28 07:01:23
PAYMENT SENT,1105254.52228163,541507.77466078,563746.74762085,2024-02-05 04:41:05
PAYMENT SENT,3923988.26036225,1105254.52228163,2818733.73808062,2024-01-21 06:19:23
PAYMENT SENT,6742721.99844277,3923988.26036225,2818733.73808052,2024-01-19 03:13:31
PAYMENT SENT,7250085.9984487,6742721.99844277,507364.00000593,2024-01-16 03:52:09
PAYMENT SENT,8727514.99845463,7250085.9984487,1477429.00000593,2024-01-09 02:22:06
PAYMENT SENT,11114149.99846110,8727514.99845463,2386635.00000645,2023-12-30 06:40:48
PAYMENT RECEIVED,/,1477397.9984848,1477397.9984848,2023-07-11 17:42:52
PAYMENT SENT,11236751.99998220,9636751.99997628,1600000.00000593,2023-06-27 01:13:42
PAYMENT SENT,12552540.99998810,11236751.99998220,1315789.00000593,2023-05-26 02:57:53
PAYMENT SENT,12660876.99999410,12552540.99998810,108336.00000593,2023-05-06 04:49:05
PAYMENT SENT,23000000.0,12660876.99999410,10339123.00000590,2023-02-13 05:29:23
PAYMENT RECEIVED,/,138000000.0,138000000.0,2022-12-28 03:03:14
PAYMENT RECEIVED,/,23000000.00009650,23000000.00009650,2022-12-26 09:47:03
PAYMENT RECEIVED,/,23000000.09999650,23000000.09999650,2022-12-26 06:15:24
PAYMENT RECEIVED,/,23000000.99999510,23000000.99999510,2022-12-26 01:51:08
PAYMENT RECEIVED,/,23000000.0,23000000.0,2022-12-25 00:25:35
PAYMENT RECEIVED,/,23000000.0,23000000.0,2022-12-24 13:02:42
PAYMENT RECEIVED,/,23000000.0,23000000.0,2022-12-24 00:32:00
PAYMENT SENT,142.99997576,/,142.99997576,2022-12-22 12:47:36
PAYMENT SENT,387.99998169,142.99997576,245.00000593,2022-12-22 08:58:04
PAYMENT SENT,637.99998762,387.99998169,250.00000593,2022-12-22 08:53:30
PAYMENT SENT,699.99999355,637.99998762,62.00000593,2022-12-22 07:02:46
PAYMENT SENT,1200.0,699.99999355,500.00000645,2022-12-22 06:22:33
PAYMENT RECEIVED,/,1000.0,1000.0,2022-12-21 07:22:11
PAYMENT RECEIVED,/,200.0,200.0,2022-12-21 07:22:09